callid,agentid,customerid,pickedup,duration,productsold,total
104,9,670,1,181,0,121270
105,2,681,1,122,0,83082
106,4,446,0,0,0,0
107,9,541,0,0,0,0
108,9,315,1,166,0,52290
109,6,386,1,158,0,60988
110,5,512,0,0,0,0
111,2,67,1,284,0,19028
112,2,824,1,222,0,182928
113,9,830,1,69,0,57270
114,8,172,1,206,1,35432
115,3,153,0,0,0,0
116,3,291,1,182,1,52962
117,0,218,1,267,0,58206
118,0,781,1,249,0,194469
119,4,577,0,0,0,0
120,9,770,1,205,0,157850
121,10,171,1,214,0,36594
122,8,746,0,0,0,0
123,7,90,0,0,0,0
124,3,77,1,150,0,11550
125,3,476,1,205,0,97580
126,0,752,0,0,0,0
127,8,677,1,107,0,72439
128,0,2,1,152,0,304
129,1,599,1,138,0,82662
130,2,436,0,0,0,0
131,9,608,0,0,0,0
132,7,122,1,144,1,17568
133,2,97,1,304,0,29488
134,8,430,1,190,0,81700
135,4,784,1,221,0,173264
136,2,436,1,232,0,101152
137,4,248,0,0,0,0
138,9,547,0,0,0,0
139,6,508,0,0,0,0
140,4,546,0,0,0,0
141,9,88,0,0,0,0
142,3,981,0,0,0,0
143,3,36,0,0,0,0
144,0,52,0,0,0,0
145,9,5,0,0,0,0
146,1,995,1,246,0,244770
147,3,718,0,0,0,0
148,3,489,1,132,1,64548
149,8,819,1,214,0,175266
150,5,926,1,135,0,125010
151,9,9,1,173,0,1557
152,6,842,1,187,1,157454
153,3,722,1,236,0,170392
154,7,917,1,179,0,164143
155,0,319,0,0,0,0
156,6,221,1,176,0,38896
157,2,586,0,0,0,0
158,0,633,1,150,0,94950
159,1,936,1,155,0,145080
160,6,402,1,158,1,63516
161,2,940,1,196,0,184240
162,7,671,1,197,0,132187
163,3,66,1,214,0,14124
164,2,317,0,0,0,0
165,2,619,0,0,0,0
166,7,446,1,121,1,53966
167,5,301,0,0,0,0
168,8,666,1,193,0,128538
169,4,333,0,0,0,0
170,5,215,0,0,0,0
171,9,811,1,235,0,190585
172,8,669,0,0,0,0
173,10,278,0,0,0,0
174,2,239,1,160,1,38240
175,10,241,1,206,0,49646
176,8,999,0,0,0,0
177,5,716,1,149,0,106684
178,9,364,1,204,1,74256
179,4,188,1,161,1,30268
180,7,691,1,189,0,130599
181,8,768,0,0,0,0
182,3,126,0,0,0,0
183,3,921,0,0,0,0
184,8,722,1,173,0,124906
185,0,281,1,171,0,48051
186,1,616,1,259,1,159544
187,8,703,0,0,0,0
188,0,295,0,0,0,0
189,3,987,1,189,0,186543
190,4,182,1,160,1,29120
191,2,724,0,0,0,0
192,9,769,1,114,1,87666
193,5,133,0,0,0,0
194,9,148,1,114,0,16872
195,5,763,1,142,0,108346
196,1,274,0,0,0,0
197,3,771,0,0,0,0
198,0,995,1,162,0,161190
199,0,120,1,206,1,24720
200,10,757,0,0,0,0
201,10,397,1,168,0,66696
202,5,43,1,223,0,9589
203,1,600,1,196,1,117600
204,5,790,1,146,1,115340
205,2,103,0,0,0,0
206,7,35,1,155,0,5425
207,4,157,1,179,1,28103
208,5,556,1,241,0,133996
209,4,485,0,0,0,0
210,1,460,1,212,1,97520
211,1,234,1,192,0,44928
212,5,241,1,186,0,44826
213,3,117,1,216,1,25272
214,2,650,0,0,0,0
215,4,339,1,162,0,54918
216,7,54,0,0,0,0
217,0,912,1,196,1,178752
218,7,212,1,202,0,42824
219,6,62,1,277,0,17174
220,0,317,1,119,0,37723
221,10,882,1,201,1,177282
222,10,373,1,290,0,108170
223,8,954,1,146,1,139284
224,3,127,1,156,0,19812
225,7,903,0,0,0,0
226,9,813,1,136,0,110568
227,4,881,1,280,0,246680
228,3,370,1,158,1,58460
230,8,507,1,180,0,91260
231,4,55,1,108,0,5940
232,1,951,0,0,0,0
233,9,518,0,0,0,0
234,7,962,0,0,0,0
235,9,404,0,0,0,0
236,9,391,1,133,1,52003
237,6,560,1,142,0,79520
238,5,891,1,169,1,150579
239,10,797,1,164,1,130708
240,5,993,1,85,0,84405
241,6,861,1,280,1,241080
242,10,261,0,0,0,0
243,3,280,1,189,0,52920
244,6,586,0,0,0,0
245,1,603,1,244,1,147132
246,0,727,1,159,0,115593
247,6,471,0,0,0,0
248,7,264,0,0,0,0
249,3,38,1,107,0,4066
250,3,477,0,0,0,0
251,4,601,1,177,0,106377
252,1,576,1,202,0,116352
253,1,34,1,127,0,4318
254,6,685,1,95,0,65075
255,1,55,0,0,0,0
256,3,631,0,0,0,0
257,3,667,1,151,0,100717
258,10,27,1,202,1,5454
259,3,432,0,0,0,0
260,1,116,0,0,0,0
261,10,218,1,209,0,45562
262,5,856,1,221,0,189176
263,10,886,0,0,0,0
264,6,322,1,193,0,62146
265,2,659,1,140,0,92260
266,2,251,1,210,1,52710
267,8,232,0,0,0,0
268,2,536,1,238,0,127568
269,3,758,0,0,0,0
270,4,693,1,290,0,200970
271,4,800,1,181,1,144800
273,5,447,0,0,0,0
274,7,987,0,0,0,0
275,3,906,0,0,0,0
276,10,855,1,229,0,195795
277,1,376,1,274,0,103024
278,1,289,0,0,0,0
279,4,338,1,139,0,46982
280,0,433,1,247,0,106951
281,4,165,1,190,0,31350
282,5,843,1,125,1,105375
283,8,7,1,207,0,1449
284,0,60,1,237,0,14220
285,10,976,1,176,1,171776
286,8,231,1,167,0,38577
287,1,428,1,224,0,95872
288,4,587,1,211,0,123857
289,5,151,0,0,0,0
290,0,303,1,196,0,59388
291,1,172,1,167,0,28724
292,3,630,1,245,1,154350
293,1,84,1,246,0,20664
294,10,610,1,92,0,56120
295,4,343,0,0,0,0
296,3,615,0,0,0,0
297,2,404,1,177,1,71508
298,10,682,0,0,0,0
299,3,270,1,161,0,43470
300,5,242,0,0,0,0
301,6,559,1,223,1,124657
302,4,533,1,200,0,106600
303,4,507,1,159,0,80613
304,4,417,1,137,0,57129
305,3,627,0,0,0,0
306,2,877,1,223,0,195571
307,8,548,1,180,0,98640
308,1,467,1,243,0,113481
309,9,25,1,223,1,5575
310,5,70,1,182,1,12740
311,6,517,1,182,0,94094
312,5,219,0,0,0,0
313,4,197,1,248,0,48856
314,5,581,0,0,0,0
315,8,40,0,0,0,0
316,7,723,1,199,0,143877
317,8,393,1,222,0,87246
318,10,595,0,0,0,0
319,4,303,1,222,1,67266
320,4,763,1,207,0,157941
322,7,929,1,147,0,136563
323,3,454,1,217,0,98518
324,0,780,1,214,0,166920
325,10,434,0,0,0,0
326,0,224,1,242,1,54208
327,0,444,1,163,0,72372
328,4,279,1,222,1,61938
329,8,232,0,0,0,0
330,2,333,0,0,0,0
331,7,206,0,0,0,0
332,7,881,1,138,0,121578
333,10,713,1,173,1,123349
334,1,95,1,167,1,15865
335,10,291,1,183,0,53253
336,0,910,1,245,0,222950
337,1,425,1,84,1,35700
338,10,402,1,164,1,65928
339,0,564,1,259,0,146076
340,1,467,0,0,0,0
341,9,106,0,0,0,0
342,4,771,1,247,0,190437
343,10,490,0,0,0,0
344,6,59,0,0,0,0
345,3,941,1,192,0,180672
346,10,986,1,191,1,188326
347,4,833,1,125,0,104125
348,7,184,1,136,1,25024
349,4,915,1,199,0,182085
350,10,160,0,0,0,0
351,7,414,1,250,0,103500
352,10,898,0,0,0,0
353,9,272,0,0,0,0
354,6,784,0,0,0,0
355,8,359,0,0,0,0
356,3,14,1,151,1,2114
357,2,243,1,145,1,35235
358,5,616,0,0,0,0
359,8,251,1,178,0,44678
360,5,532,1,170,1,90440
361,5,951,1,194,1,184494
362,0,995,0,0,0,0
363,6,194,0,0,0,0
364,3,86,1,278,1,23908
365,8,177,1,126,0,22302
366,10,108,1,216,0,23328
367,10,651,1,220,0,143220
368,4,267,0,0,0,0
369,10,221,1,150,0,33150
370,7,948,0,0,0,0
371,8,850,1,196,1,166600
372,9,537,0,0,0,0
373,0,26,1,134,0,3484
374,8,628,1,209,1,131252
375,3,404,0,0,0,0
376,1,553,1,165,0,91245
377,0,442,0,0,0,0
378,7,219,1,132,0,28908
379,5,274,0,0,0,0
380,8,10,1,203,0,2030
381,4,757,1,129,0,97653
382,8,771,1,216,1,166536
383,10,840,1,127,0,106680
384,3,863,1,196,0,169148
385,9,898,1,164,0,147272
386,1,405,0,0,0,0
387,8,896,1,218,0,195328
388,0,254,1,76,0,19304
389,4,567,1,204,1,115668
390,4,543,1,154,0,83622
391,6,806,1,256,0,206336
392,2,581,1,194,1,112714
393,0,539,1,210,0,113190
394,3,417,0,0,0,0
395,0,829,1,183,1,151707
396,4,910,0,0,0,0
397,10,294,1,199,1,58506
398,8,750,1,189,1,141750
399,9,533,1,158,0,84214
400,0,741,0,0,0,0
401,0,196,0,0,0,0
402,9,654,1,139,0,90906
403,4,732,1,205,0,150060
404,4,350,1,169,1,59150
405,10,961,1,90,0,86490
406,8,34,1,153,0,5202
407,0,474,0,0,0,0
408,8,298,1,236,1,70328
409,2,312,1,213,0,66456
410,3,373,1,254,0,94742
411,5,701,0,0,0,0
412,9,73,0,0,0,0
413,5,616,0,0,0,0
414,4,305,1,248,0,75640
415,6,926,1,208,0,192608
416,9,130,1,142,0,18460
417,8,427,1,198,0,84546
418,8,127,1,113,1,14351
419,3,608,1,137,0,83296
420,1,674,1,163,0,109862
421,1,488,0,0,0,0
422,3,214,1,163,1,34882
423,3,151,1,194,0,29294
424,0,679,1,62,1,42098
425,7,514,1,330,0,169620
426,5,704,1,210,0,147840
427,3,60,1,76,0,4560
428,4,793,1,113,0,89609
429,2,953,0,0,0,0
430,0,217,1,191,0,41447
431,10,76,0,0,0,0
432,1,963,1,218,0,209934
433,6,839,0,0,0,0
434,1,547,1,155,1,84785
435,6,625,1,172,0,107500
436,5,963,1,173,1,166599
437,4,474,1,232,0,109968
438,7,381,1,286,0,108966
439,6,531,1,207,1,109917
440,10,424,1,207,1,87768
441,6,653,1,179,0,116887
442,9,90,0,0,0,0
443,8,10,1,210,0,2100
444,7,127,1,169,0,21463
445,2,179,1,201,0,35979
446,0,930,1,119,1,110670
447,0,722,1,210,1,151620
448,8,479,1,179,0,85741
449,1,760,0,0,0,0
450,0,275,0,0,0,0
451,6,506,1,196,0,99176
452,10,433,0,0,0,0
453,6,700,1,122,0,85400
454,9,784,1,200,1,156800
455,6,60,1,215,0,12900
456,6,77,1,238,0,18326
457,4,928,0,0,0,0
458,10,870,0,0,0,0
459,2,180,1,241,0,43380
460,6,765,1,140,0,107100
461,1,474,0,0,0,0
462,7,425,1,142,1,60350
463,2,799,1,203,1,162197
464,10,214,1,171,0,36594
465,7,165,1,197,0,32505
466,7,758,1,223,0,169034
467,2,945,1,226,1,213570
468,1,104,0,0,0,0
469,0,144,1,170,0,24480
470,1,614,1,318,0,195252
471,3,97,1,181,0,17557
472,4,584,1,217,0,126728
473,9,326,0,0,0,0
474,8,911,1,118,0,107498
475,0,111,1,82,0,9102
476,2,683,1,154,0,105182
477,1,379,0,0,0,0
478,3,265,1,244,0,64660
479,10,921,1,224,1,206304
480,1,343,1,216,0,74088
481,9,62,0,0,0,0
482,8,883,0,0,0,0
483,8,194,1,68,1,13192
484,8,853,1,111,1,94683
485,6,811,0,0,0,0
486,2,839,1,164,0,137596
487,10,100,0,0,0,0
488,2,422,1,200,1,84400
489,0,731,1,142,1,103802
490,3,26,0,0,0,0
491,4,401,1,247,0,99047
492,3,438,0,0,0,0
493,5,216,1,265,0,57240
494,3,768,0,0,0,0
495,3,739,1,210,0,155190
496,2,817,1,133,0,108661
497,5,535,0,0,0,0
498,2,206,1,168,1,34608
499,4,747,1,225,0,168075
500,8,187,1,229,0,42823
501,6,245,1,139,1,34055
502,2,77,1,221,1,17017
503,4,444,1,177,0,78588
504,7,652,1,155,0,101060
505,8,643,1,182,1,117026
506,1,881,1,154,0,135674
507,2,1000,0,0,0,0
508,0,813,1,199,1,161787
509,3,743,1,103,0,76529
510,7,5,1,232,1,1160
511,9,622,1,119,0,74018
512,10,400,1,161,1,64400
513,3,389,0,0,0,0
514,1,194,1,336,0,65184
515,4,892,1,160,1,142720
516,8,263,1,170,0,44710
517,0,642,1,129,1,82818
518,10,309,0,0,0,0
519,10,257,1,230,1,59110
520,8,395,0,0,0,0
521,2,832,0,0,0,0
522,9,46,0,0,0,0
523,5,690,1,137,0,94530
524,10,177,0,0,0,0
525,9,816,1,199,1,162384
526,0,950,1,117,0,111150
527,2,551,1,242,0,133342
528,1,220,1,128,1,28160
529,4,409,1,249,0,101841
530,9,68,1,215,1,14620
531,2,54,1,164,1,8856
532,9,111,1,165,1,18315
533,4,520,0,0,0,0
534,4,833,1,188,0,156604
535,8,519,1,143,1,74217
536,5,190,0,0,0,0
537,10,696,1,125,0,87000
538,3,639,1,209,0,133551
539,4,519,1,143,0,74217
540,0,492,0,0,0,0
541,3,882,1,222,1,195804
542,8,79,1,123,1,9717
543,7,779,1,193,0,150347
544,8,906,1,255,0,231030
545,3,541,1,123,0,66543
546,6,387,1,199,0,77013
547,0,61,0,0,0,0
548,1,587,1,253,0,148511
549,3,443,1,182,1,80626
550,5,666,1,202,1,134532
551,3,164,1,204,0,33456
552,10,673,1,300,0,201900
553,1,0,0,0,0,0
554,10,710,0,0,0,0
555,7,680,1,216,0,146880
556,5,457,1,187,0,85459
557,5,395,0,0,0,0
558,4,150,0,0,0,0
559,9,748,1,268,0,200464
560,10,115,1,298,0,34270
561,3,763,1,164,0,125132
562,2,256,0,0,0,0
563,6,624,0,0,0,0
564,8,487,1,184,1,89608
565,6,429,1,244,0,104676
566,5,878,0,0,0,0
567,1,930,1,235,0,218550
568,8,96,1,197,0,18912
569,8,835,1,185,0,154475
570,9,519,1,171,0,88749
571,8,541,1,191,1,103331
572,9,454,1,200,1,90800
573,6,346,1,184,1,63664
574,1,247,0,0,0,0
575,10,320,1,171,0,54720
576,6,222,0,0,0,0
577,8,404,0,0,0,0
578,8,676,1,324,1,219024
579,8,778,1,248,0,192944
580,2,963,0,0,0,0
581,9,299,0,0,0,0
582,4,132,0,0,0,0
583,3,413,0,0,0,0
584,6,588,1,183,0,107604
585,3,101,1,113,0,11413
586,2,582,0,0,0,0
587,1,138,1,213,0,29394
588,9,127,0,0,0,0
589,10,520,1,140,0,72800
590,3,559,1,213,0,119067
591,4,603,1,263,0,158589
592,0,916,1,150,0,137400
593,1,969,1,67,0,64923
594,5,769,1,264,0,203016
595,5,992,0,0,0,0
596,1,423,1,143,0,60489
597,8,890,0,0,0,0
598,1,176,1,216,0,38016
599,8,558,1,141,1,78678
600,8,617,1,176,0,108592
601,5,254,1,272,0,69088
602,7,423,1,177,0,74871
603,5,636,1,137,0,87132
604,1,518,1,182,0,94276
605,5,819,1,230,0,188370
606,8,903,1,198,1,178794
607,9,812,0,0,0,0
608,0,494,0,0,0,0
609,6,476,0,0,0,0
610,7,145,0,0,0,0
611,6,329,1,225,0,74025
612,1,122,1,206,1,25132
613,9,811,0,0,0,0
614,10,823,0,0,0,0
615,3,280,0,0,0,0
616,3,634,0,0,0,0
617,1,96,0,0,0,0
618,2,529,1,130,0,68770
619,7,952,0,0,0,0
620,8,144,1,179,1,25776
621,2,283,1,169,0,47827
622,2,84,1,195,0,16380
623,9,429,1,206,1,88374
624,0,771,1,253,0,195063
625,3,373,0,0,0,0
626,7,696,0,0,0,0
627,5,937,1,104,1,97448
628,4,15,1,89,1,1335
629,9,605,0,0,0,0
630,3,387,1,162,0,62694
631,2,210,1,141,0,29610
632,7,839,1,62,0,52018
633,9,935,1,246,0,230010
634,4,998,1,109,0,108782
635,9,550,1,193,1,106150
636,9,770,1,222,1,170940
637,3,887,1,119,1,105553
638,2,221,0,0,0,0
639,10,540,1,241,0,130140
640,3,558,1,267,0,148986
641,8,890,1,302,0,268780
642,6,816,1,91,1,74256
643,6,404,1,205,0,82820
644,9,806,1,108,0,87048
645,0,760,1,150,0,114000
646,6,715,1,131,0,93665
647,3,675,1,223,1,150525
648,8,557,1,122,0,67954
649,2,993,1,220,1,218460
650,1,897,1,254,1,227838
651,6,473,1,200,0,94600
652,3,756,1,155,1,117180
653,6,73,1,130,1,9490
654,9,127,0,0,0,0
655,10,458,1,161,1,73738
656,8,520,1,169,1,87880
657,10,52,0,0,0,0
658,4,907,1,150,0,136050
659,0,506,1,103,1,52118
660,4,19,1,152,1,2888
661,2,106,1,228,0,24168
662,4,667,0,0,0,0
663,7,806,0,0,0,0
664,2,506,0,0,0,0
665,6,921,1,123,1,113283
666,6,216,1,187,0,40392
667,1,26,1,188,0,4888
668,10,433,1,108,0,46764
669,10,604,0,0,0,0
670,2,407,1,159,0,64713
671,1,357,1,191,0,68187
672,2,288,1,102,1,29376
673,2,329,1,188,0,61852
674,10,111,1,165,0,18315
675,0,2,1,208,0,416
676,7,886,1,186,1,164796
677,5,949,1,192,0,182208
678,1,695,1,168,0,116760
679,5,942,1,175,0,164850
680,0,837,0,0,0,0
681,8,122,1,221,1,26962
682,1,0,1,244,0,0
683,8,18,1,236,1,4248
684,3,909,1,98,1,89082
685,8,431,0,0,0,0
686,2,561,0,0,0,0
687,10,587,0,0,0,0
688,4,519,0,0,0,0
689,4,881,1,49,1,43169
690,9,829,1,177,0,146733
691,8,210,1,211,0,44310
692,4,303,1,177,0,53631
693,5,678,1,107,0,72546
694,4,785,1,265,0,208025
695,2,434,0,0,0,0
696,8,623,1,179,0,111517
697,0,933,1,99,0,92367
698,9,66,1,106,0,6996
699,1,701,1,115,1,80615
700,10,305,1,156,0,47580
701,5,700,1,132,0,92400
702,6,742,1,199,1,147658
703,4,216,0,0,0,0
704,7,418,1,176,1,73568
705,5,27,1,219,0,5913
706,8,492,0,0,0,0
707,0,601,1,263,0,158063
708,5,991,1,160,1,158560
709,10,333,1,228,1,75924
710,4,476,1,176,1,83776
711,2,156,1,160,0,24960
712,10,411,1,210,0,86310
713,7,551,0,0,0,0
714,5,942,0,0,0,0
715,4,499,1,157,1,78343
716,6,169,0,0,0,0
717,9,464,0,0,0,0
718,1,592,1,238,0,140896
719,2,201,1,156,0,31356
720,2,625,1,113,1,70625
721,10,593,1,159,0,94287
722,4,977,1,191,0,186607
723,4,636,0,0,0,0
724,2,108,1,218,0,23544
725,0,244,1,190,1,46360
726,6,895,1,177,0,158415
727,5,830,0,0,0,0
728,9,796,0,0,0,0
729,0,618,1,239,0,147702
730,4,528,1,178,0,93984
731,0,827,0,0,0,0
732,7,258,1,219,0,56502
733,2,976,0,0,0,0
734,0,778,1,186,1,144708
735,1,156,1,190,0,29640
736,3,899,1,54,1,48546
737,8,284,0,0,0,0
738,3,812,1,199,0,161588
739,0,705,1,270,1,190350
740,1,689,0,0,0,0
741,1,996,1,196,1,195216
742,9,529,1,224,0,118496
743,6,922,1,147,0,135534
744,4,519,1,326,1,169194
745,6,142,1,43,1,6106
746,9,221,0,0,0,0
747,2,202,0,0,0,0
748,7,781,1,262,0,204622
749,6,154,0,0,0,0
750,6,457,1,110,1,50270
751,6,211,1,171,0,36081
752,10,30,1,156,0,4680
753,5,813,1,264,0,214632
754,3,285,1,282,0,80370
755,5,35,1,220,0,7700
756,5,993,1,179,0,177747
757,3,248,0,0,0,0
758,5,89,0,0,0,0
759,2,727,1,146,0,106142
760,5,942,0,0,0,0
761,6,656,1,168,0,110208
762,0,101,1,178,0,17978
763,10,402,1,281,0,112962
764,9,144,1,194,0,27936
765,0,650,1,186,0,120900
766,9,469,1,223,0,104587
767,4,992,1,156,0,154752
768,3,102,0,0,0,0
769,0,738,1,184,0,135792
770,4,805,1,181,1,145705
771,1,60,1,125,0,7500
772,7,748,1,180,0,134640
773,3,106,1,101,0,10706
774,4,609,1,105,0,63945
775,9,56,0,0,0,0
776,3,515,0,0,0,0
777,6,388,1,223,0,86524
778,10,18,1,118,0,2124
779,2,766,1,211,0,161626
780,9,359,1,239,1,85801
781,7,735,1,133,0,97755
782,2,9,1,147,0,1323
783,1,836,0,0,0,0
784,1,420,1,176,0,73920
785,3,414,1,168,1,69552
786,5,412,0,0,0,0
787,8,605,1,198,0,119790
788,6,715,0,0,0,0
789,1,548,0,0,0,0
790,5,380,1,121,1,45980
791,10,151,0,0,0,0
792,0,310,0,0,0,0
793,9,824,1,133,0,109592
794,10,826,1,139,1,114814
795,2,984,0,0,0,0
796,1,947,1,169,0,160043
797,0,332,0,0,0,0
798,0,486,1,126,0,61236
799,1,416,1,187,0,77792
800,1,716,1,153,0,109548
801,9,382,1,233,0,89006
802,2,478,1,204,0,97512
803,6,338,0,0,0,0
804,9,380,0,0,0,0
805,6,737,1,159,0,117183
806,10,352,1,185,0,65120
807,8,608,0,0,0,0
808,10,447,1,223,0,99681
809,0,251,0,0,0,0
810,2,687,1,213,0,146331
811,0,26,1,163,0,4238
812,4,864,0,0,0,0
813,10,911,1,180,0,163980
814,7,888,1,190,1,168720
815,2,895,0,0,0,0
816,9,498,1,205,0,102090
817,7,303,0,0,0,0
818,5,902,1,165,0,148830
819,2,891,1,144,0,128304
820,8,735,0,0,0,0
821,1,823,0,0,0,0
822,2,363,1,189,0,68607
823,9,969,1,199,0,192831
824,10,287,1,200,0,57400
825,5,153,1,184,0,28152
826,10,731,1,217,0,158627
827,1,973,0,0,0,0
828,10,896,1,65,1,58240
829,6,30,0,0,0,0
830,4,337,1,159,1,53583
831,9,404,0,0,0,0
832,7,966,1,196,0,189336
833,4,788,1,192,0,151296
834,10,692,0,0,0,0
835,0,312,1,128,0,39936
836,1,529,0,0,0,0
837,9,701,1,182,0,127582
838,9,234,1,216,1,50544
839,5,806,1,246,0,198276
840,7,244,1,302,0,73688
841,6,665,1,117,0,77805
842,1,640,0,0,0,0
843,9,519,1,162,0,84078
844,0,519,1,97,1,50343
845,6,201,1,149,0,29949
846,7,40,1,121,0,4840
847,9,360,0,0,0,0
848,5,461,1,170,0,78370
849,10,831,0,0,0,0
850,6,768,1,149,1,114432
851,8,475,0,0,0,0
852,0,53,1,171,0,9063
853,2,298,1,192,0,57216
854,6,783,1,144,0,112752
855,2,672,0,0,0,0
856,7,482,1,287,1,138334
857,0,631,1,169,1,106639
858,4,94,0,0,0,0
859,6,361,0,0,0,0
860,5,414,1,194,0,80316
861,2,289,1,156,1,45084
862,10,349,0,0,0,0
863,3,956,1,198,0,189288
864,0,280,1,83,1,23240
865,5,102,1,240,0,24480
866,8,366,1,196,0,71736
867,10,596,0,0,0,0
868,6,849,1,219,1,185931
869,10,749,1,165,1,123585
870,2,999,1,201,1,200799
871,2,264,0,0,0,0
872,7,154,1,111,0,17094
873,10,922,1,215,0,198230
874,3,572,0,0,0,0
875,6,616,1,242,1,149072
876,0,877,0,0,0,0
877,3,679,1,114,0,77406
878,7,269,1,189,0,50841
879,10,67,1,60,0,4020
880,2,503,1,197,1,99091
881,2,164,1,196,0,32144
882,2,329,0,0,0,0
883,6,190,0,0,0,0
884,5,43,1,198,0,8514
885,3,637,1,164,0,104468
886,9,432,0,0,0,0
887,8,78,1,231,0,18018
888,5,822,0,0,0,0
889,9,256,1,209,0,53504
890,8,593,1,136,1,80648
891,2,658,1,205,0,134890
892,2,595,0,0,0,0
893,4,918,1,259,1,237762
894,1,813,1,225,0,182925
895,7,165,1,221,0,36465
896,8,840,1,158,0,132720
897,7,332,1,161,1,53452
898,1,294,1,186,0,54684
899,9,22,1,120,0,2640
900,10,171,1,235,0,40185
901,1,938,1,208,1,195104
902,5,661,1,160,0,105760
903,10,626,0,0,0,0
904,4,417,0,0,0,0
905,2,227,1,212,1,48124
906,5,1,1,145,0,145
907,5,959,1,203,0,194677
908,2,940,1,130,1,122200
909,8,209,1,143,0,29887
910,1,174,1,123,1,21402
911,10,287,1,141,0,40467
912,0,529,1,202,0,106858
913,6,815,1,123,1,100245
914,1,890,1,142,0,126380
915,10,219,1,153,0,33507
916,4,815,1,217,0,176855
917,8,224,1,244,0,54656
918,0,471,1,143,0,67353
919,0,631,0,0,0,0
920,4,382,0,0,0,0
921,8,237,0,0,0,0
922,1,614,1,198,0,121572
923,2,217,1,185,0,40145
924,5,8,0,0,0,0
925,0,494,1,233,1,115102
926,8,581,0,0,0,0
927,8,511,1,170,1,86870
928,6,712,1,208,0,148096
929,6,258,1,173,0,44634
930,6,435,1,296,1,128760
931,3,288,0,0,0,0
932,4,590,1,195,0,115050
933,4,228,0,0,0,0
934,0,925,1,114,0,105450
935,1,247,1,187,0,46189
936,3,703,1,219,0,153957
937,6,346,1,185,1,64010
938,6,177,0,0,0,0
939,4,955,1,107,0,102185
940,5,796,1,155,1,123380
941,0,844,1,161,1,135884
942,4,716,0,0,0,0
943,0,371,1,132,0,48972
944,8,376,1,130,0,48880
945,2,566,1,152,0,86032
946,1,242,0,0,0,0
947,0,825,1,227,1,187275
948,3,10,1,123,0,1230
949,4,481,0,0,0,0
950,0,645,0,0,0,0
